date,name of team1,counts of team1,name of team2,counts of team2,positive percentage of team 1,negative percentage of team1,neutral percentage of team 1,positive percentage of team 2,negative percentage of team 2,neutral percentage of team 2,Result team 1,Result team 2 ,percentageofcounts_1,percentageofcounts_2,positive_1,negative_1,neutral_1,positive_2,negative_2,neutral_2,result
1126,Timberwolves,53,Cavaliers,62,41.509434%,3.773585%,54.716981%,29.032258%,24.193548%,46.774194%,102,95,0.460869565,-0.539130435,0.41509434,-0.03773585,0.54716981,-0.29032258,0.24193548,0.46774194,1
1126,Bucks,329,Hornets,116,9.422492%,3.647416%,86.930091%,20.689655%,7.758621%,71.551724%,107,110,0.739325843,-0.260674157,0.09422492,-0.03647416,0.86930091,-0.20689655,0.07758621,0.71551724,0
1126,Rockets,216,Wizards,223,32.407407%,12.037037%,55.555556%,40.358744%,7.623318%,52.017937%,131,135,0.492027335,-0.507972665,0.32407407,-0.12037037,0.55555556,-0.40358744,0.07623318,0.52017937,0
1126,Spurs,105,Bulls,110,42.857143%,10.476190%,46.666667%,22.727273%,13.636364%,63.636364%,108,107,0.488372093,-0.511627907,0.42857143,-0.1047619,0.46666667,-0.22727273,0.13636364,0.63636364,1
1126,Celtics,178,Pelicans,104,32.584270%,29.775281%,37.640449%,36.538462%,20.192308%,43.269231%,124,107,0.631205674,-0.368794326,0.3258427,-0.29775281,0.37640449,-0.36538462,0.20192308,0.43269231,1
1126,Pacers,33,Jazz,79,27.272727%,21.212121%,51.515152%,15.189873%,51.898734%,32.911392%,121,88,0.294642857,-0.705357143,0.27272727,-0.21212121,0.51515152,-0.15189873,0.51898734,0.32911392,1
1126,Magic,57,Warriors,154,84.210526%,1.754386%,14.035088%,41.558442%,22.077922%,36.363636%,110,116,0.27014218,-0.72985782,0.84210526,-0.01754386,0.14035088,-0.41558442,0.22077922,0.36363636,0
1127,Knicks,157,Pistons,97,36.942675%,16.560510%,46.496815%,30.927835%,14.432990%,54.639175%,108,115,0.618110236,-0.381889764,0.36942675,-0.1656051,0.46496815,-0.30927835,0.1443299,0.54639175,0
1127,Hawks,75,Heat,100,34.666667%,10.666667%,54.666667%,23.000000%,18.000000%,59.000000%,115,113,0.428571429,-0.571428571,0.34666667,-0.10666667,0.54666667,-0.23,0.18,0.59,1
1127,Raptors,174,Grizzlies,103,21.839080%,12.068966%,66.091954%,29.126214%,19.417476%,51.456311%,122,114,0.628158845,-0.371841155,0.2183908,-0.12068966,0.66091954,-0.29126214,0.19417476,0.51456311,1
1127,Lakers,676,Nuggets,431,41.863905%,30.769231%,27.366864%,31.322506%,6.496520%,62.180974%,85,117,0.61065944,-0.38934056,0.41863905,-0.30769231,0.27366864,-0.31322506,0.0649652,0.62180974,0
1127,Pacers,82,Suns,87,31.707317%,2.439024%,65.853659%,28.735632%,6.896552%,64.367816%,109,104,0.485207101,-0.514792899,0.31707317,-0.02439024,0.65853659,-0.28735632,0.06896552,0.64367816,1
1128,Hawks,79,Hornets,80,48.101266%,21.518987%,30.379747%,30.000000%,7.500000%,62.500000%,94,108,0.496855346,-0.503144654,0.48101266,-0.21518987,0.30379747,-0.3,0.075,0.625,0
1128,Knicks,107,76ers,139,28.037383%,13.084112%,58.878505%,51.079137%,12.949640%,35.971223%,91,117,0.43495935,-0.56504065,0.28037383,-0.13084112,0.58878505,-0.51079137,0.1294964,0.35971223,0
1128,Jazz,191,Nets,132,12.041885%,13.612565%,74.345550%,28.787879%,9.090909%,62.121212%,101,91,0.591331269,-0.408668731,0.12041885,-0.13612565,0.7434555,-0.28787879,0.09090909,0.62121212,1
